record_id,parent_department,organisation,unit,reporting_senior_post,grade,payscale_minimum,payscale_maximum,generic_job_title,fte_posts,professional/occupational_group,office_region
1,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,Grade 6 - National,70854,78241,Manager - Enterprise Data for Access and Sharing 6-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
2,Department for Education,Department for Education,Data Science (ESFA),DFE-2601,HEO - London,40132,42699,Higher Executive Officer - Data Science (ESFA) HEO-London,0.81,Other,London
3,Department for Education,Department for Education,Independent Education and School Safeguarding,DFE-2004,HEO - National,36000,38229,Higher Executive Officer - Independent Education and School Safeguarding HEO-North East,6.89,Other,North East
4,Department for Education,Department for Education,Financial Reporting,DFE-2454,EO - National,31479,31479,Executive Officer - Financial Reporting EO-North East,2.0,Other,North East
5,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,EA - National,27244,27244,Executive Assistant - Customer Success & Shared Service Operations EA-North East,8.07,Other,North East
6,Department for Education,Department for Education,Operational Excellence,DFE-2292,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Operational Excellence SEO-North East,10.26,Other,North East
7,Department for Education,Department for Education,Independent Education and School Safeguarding,DFE-2004,Grade 7 - National,58185,67219,Manager - Independent Education and School Safeguarding Grade 7 (Position Vacate:28/11/2025)-North East,1.0,Other,North East
8,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Enterprise Data for Access and Sharing SEO-North East,11.87,Other,North East
9,Department for Education,Department for Education,Regions Group: North East,DFE-2409,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Regions Group: North East SEO-North East,8.2,Other,North East
10,Department for Education,Department for Education,Assurance,DFE-2192,Grade 6 - National,70854,78241,Manager - Assurance Grade 6-North East,1.0,Other,North East
11,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,EO - National,31479,31479,Executive Officer - Enterprise Data for Access and Sharing EO-North East,1.0,Other,North East
12,Department for Education,Department for Education,Regions Group: Yorkshire and the Humber,DFE-2375,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Regions Group: Yorkshire and the Humber SEO-North East,5.6,Other,North East
13,Department for Education,Department for Education,SFSO Operational Delivery - North,DFE-2084,Grade 7 - National,58185,67219,Manager - SFSO Operational Delivery - North Grade 7-North East,4.0,Other,North East
14,Department for Education,Department for Education,Regions Group: National,DFE-2021,SEO (Senior Prof & Technical Officer) - National,48999,53884,Senior Executive Officer - Regions Group: National SEO-North East,6.82,Other,North East
15,Department for Education,Department for Education,Regions Group: North East,DFE-2409,Grade 6 - National,70854,78241,Manager - Regions Group: North East Grade 6-North East,4.0,Other,North East
16,Department for Education,Department for Education,"Education Estates Legal, Land and Planning",DFE-2207,Grade 7 - National,58185,67219,"Manager - Education Estates Legal, Land and Planning Grade 7-North East",5.74,Other,North East
17,Department for Education,Department for Education,Assurance,DFE-2192,HEO - National,36000,38229,Higher Executive Officer - Assurance HEO-North East,5.8,Other,North East
18,Department for Education,Department for Education,Teachers' Pension Scheme,DFE-2675,Grade 6 - National,70854,78241,Manager - Teachers' Pension Scheme Grade 6 PT (Position Vacate:31/12/2025)-North East,0.6,Other,North East
19,Department for Education,Department for Education,CSC Looked After Children Placements,DFE-2582,Senior Executive Officer - National,42806,47047,Senior Executive Officer - CSC Looked After Children Placements SEO-North East,1.0,Other,North East
20,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 6 - National,70854,78241,Manager - Operational Excellence Grade 6-North East,1.0,Other,North East
21,Department for Education,Department for Education,Attendance,DFE-2533,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Attendance SEO-West Midlands,1.0,Other,West Midlands
22,Department for Education,Department for Education,Specialist Restructuring,DFE-2173,EA - National,27244,27244,Executive Assistant - Specialist Restructuring EA-North East,0.7,Other,North East
23,Department for Education,Department for Education,Independent Education and School Safeguarding,DFE-2004,EO - National,31479,31479,Executive Officer - Independent Education and School Safeguarding EO-North East,12.43,Other,North East
24,Department for Education,Department for Education,"Education Estates Design, Engineering, Cost and Building Technology",DFE-2208,Grade 6 - London,74528,82869,"Manager - Education Estates Design, Engineering, Cost and Building Technology Grade 6-Unknown",57.96,Other,Unknown
25,Department for Education,Department for Education,Regions Group: South East,DFE-2439,Grade 7 - London,62336,72057,Manager - Regions Group: South East Grade 7-London,12.0,Other,London
26,Department for Education,Department for Education,Regions Group: East of England,DFE-2672,Grade 7 - London,62336,72057,Manager - Regions Group: East of England Grade 7-London,8.48,Other,London
27,Department for Education,Department for Education,"Construction Grants, Assurance and Response",DFE-2344,Grade 6 - London,74528,82869,"Manager - Construction Grants, Assurance and Response Grade 6-London",1.0,Other,London
28,Department for Education,Department for Education,"CSC Adoption, Family Justice and Alternatives to Care",DFE-2638,Grade 7 - London,62336,72057,"Manager - CSC Adoption, Family Justice and Alternatives to Care Grade 7-London",2.8,Other,London
29,Department for Education,Department for Education,Sector Skills,DFE-2620,HEO - London,40132,42699,Higher Executive Officer - Sector Skills HEO-London,2.0,Other,London
30,Department for Education,Department for Education,SFSO Central Division,DFE-2202,EO - London,35438,35438,Executive Officer - SFSO Central Division EO-London,1.0,Other,London
31,Department for Education,Department for Education,Schools System Accountability,DFE-2224,Grade 6 - London,74528,82869,Manager - Schools System Accountability Grade 6-London,3.0,Other,London
32,Department for Education,Department for Education,Regions Group: Yorkshire and the Humber,DFE-2375,Grade 7 - National,58185,67219,Manager - Regions Group: Yorkshire and the Humber Grade 7-North East,6.0,Other,North East
33,Department for Education,Department for Education,"English, Maths, Music & Arts",DFE-2418,Grade 7 - London,62336,72057,"Manager - English, Maths, Music & Arts Grade 7-London",7.37,Other,London
34,Department for Education,Department for Education,Teaching Workforce Teaching Analysis,DFE-2183,Grade 7 - London,62336,72057,Manager - Teaching Workforce Teaching Analysis Grade 7-London,8.64,Other,London
35,Department for Education,Department for Education,Education Estates Strategy and Policy Unit,DFE-2072,Grade 6 - London,74528,82869,Manager - Education Estates Strategy and Policy Unit Grade 6-London,4.0,Other,London
36,Department for Education,Department for Education,Schools Regulation and Quality,DFE-2212,Grade 6 - London,74528,82869,Manager - Schools Regulation and Quality Grade 6-London,3.0,Other,London
37,Department for Education,Department for Education,Digital Strategy,DFE-2694,Grade 7 - London,62336,72057,Manager - Digital Strategy Grade 7-London,1.0,Other,London
38,Department for Education,Department for Education,Attendance,DFE-2533,Grade 6 - London,74528,82869,Manager - Attendance Grade 6-London,1.28,Other,London
39,Department for Education,Department for Education,Financial Reporting,DFE-2454,HEO (Accountant) - London,48716,52001,Higher Executive Officer - Financial Reporting HEO-London,3.0,Other,London
40,Department for Education,Department for Education,Regions Group: Yorkshire & Humber and National CSC and BSiL,DFE-2613,HEO - London,40132,42699,Higher Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL HEO-London,2.0,Other,London
41,Department for Education,Department for Education,"Admissions, School Organisation, Transport",DFE-2346,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Admissions, School Organisation, Transport SEO-Yorkshire and The Humber",1.81,Other,Yorkshire and The Humber
42,Department for Education,Department for Education,Regions Group: London,DFE-2204,Grade 6 - London,74528,82869,Manager - Regions Group: London Grade 6-London,3.81,Other,London
43,Department for Education,Department for Education,Counter Extremism and Non-School Education,DFE-2398,EO - London,35438,35438,Executive Officer - Counter Extremism and Non-School Education EO-London,0.86,Other,London
44,Department for Education,Department for Education,School Strategy and System,DFE-2639,Grade 7 - National,58185,67219,Manager - School Strategy and System Grade 7-North East,2.0,Other,North East
45,Department for Education,Department for Education,Regions Group: North East,DFE-2409,HEO - National,36000,38229,Higher Executive Officer - Regions Group: North East HEO-North East,5.92,Other,North East
46,Department for Education,Department for Education,Regions Group: National,DFE-2279,Grade 7 - National,58185,67219,Manager - Regions Group: National Grade 7-Yorkshire and The Humber,9.49,Other,Yorkshire and The Humber
47,Department for Education,Department for Education,Ministerial and Public Communications Division,DFE-2249,SEO (Information Officer) - National,48999,53884,Senior Executive Officer - Ministerial and Public Communications Division SEO-Unknown,1.0,Other,Unknown
48,Department for Education,Department for Education,Technology Operations,DFE-2461,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Technology Operations SEO-Yorkshire and The Humber,10.54,Other,Yorkshire and The Humber
49,Department for Education,Department for Education,Infrastructure & Platforms,DFE-2281,Grade 7 - National,58185,67219,Manager - Infrastructure & Platforms Grade 7-Yorkshire and The Humber,5.0,Other,Yorkshire and The Humber
50,Department for Education,Department for Education,Regions Group: London,DFE-2204,HEO - London,40132,42699,Higher Executive Officer - Regions Group: London HEO-East Midlands,3.0,Other,East Midlands
51,Department for Education,Department for Education,Funding Policy Unit,DFE-2009,Grade 7 - London,62336,72057,Manager - Funding Policy Unit Grade 7-London,5.21,Other,London
52,Department for Education,Department for Education,"CSC Outcomes, Care Leavers and Capital",DFE-2347,Senior Executive Officer - London,46971,51973,"Senior Executive Officer - CSC Outcomes, Care Leavers and Capital SEO-London",6.32,Other,London
53,Department for Education,Department for Education,High Quality Curriculum,DFE-2324,Grade 7 - London,62336,72057,Manager - High Quality Curriculum Grade 7-London,2.44,Other,London
54,Department for Education,Department for Education,Teacher Training and Recruitment,DFE-2541,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Teacher Training and Recruitment SEO-London,5.0,Other,London
55,Department for Education,Department for Education,Regions Group: East of England,DFE-2672,Grade 6 - London,74528,82869,Manager - Regions Group: East of England Grade 6-London,3.0,Other,London
56,Department for Education,Department for Education,Early Years Markets and Strategy,DFE-2644,Grade 7 - National,58185,67219,Manager - Early Years Markets and Strategy Grade 7-Yorkshire and The Humber,1.69,Other,Yorkshire and The Humber
57,Department for Education,Department for Education,Enterprise Data for Insight,DFE-2392,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Enterprise Data for Insight SEO-North East,3.81,Other,North East
